survtype,countryname,yearweek,pathogen,pathogentype,pathogensubtype,indicator,age,value
primary care sentinel,Austria,2025-W28,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2025-W28,Influenza,Influenza,total,positivity,total,2.3
primary care sentinel,Austria,2025-W28,Influenza,Influenza,total,tests,total,44
primary care sentinel,Austria,2025-W28,Influenza,Influenza A,A(H1)pdm09,detections,total,1
primary care sentinel,Austria,2025-W27,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2025-W27,Influenza,Influenza,total,positivity,total,1.3
primary care sentinel,Austria,2025-W27,Influenza,Influenza,total,tests,total,75
primary care sentinel,Austria,2025-W27,Influenza,Influenza A,A(H1)pdm09,detections,total,1
primary care sentinel,Austria,2025-W26,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2025-W26,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2025-W26,Influenza,Influenza,total,tests,total,77
primary care sentinel,Austria,2025-W25,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2025-W25,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2025-W25,Influenza,Influenza,total,tests,total,61
primary care sentinel,Austria,2025-W24,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2025-W24,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2025-W24,Influenza,Influenza,total,tests,total,50
primary care sentinel,Austria,2025-W23,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2025-W23,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2025-W23,Influenza,Influenza,total,tests,total,51
primary care sentinel,Austria,2025-W22,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2025-W22,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2025-W22,Influenza,Influenza,total,tests,total,48
primary care sentinel,Austria,2025-W21,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2025-W21,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2025-W21,Influenza,Influenza,total,tests,total,57
primary care sentinel,Austria,2025-W20,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2025-W20,Influenza,Influenza,total,positivity,total,1.8
primary care sentinel,Austria,2025-W20,Influenza,Influenza,total,tests,total,56
primary care sentinel,Austria,2025-W20,Influenza,Influenza A,A(H3),detections,total,1
primary care sentinel,Austria,2025-W19,Influenza,Influenza,total,detections,total,2
primary care sentinel,Austria,2025-W19,Influenza,Influenza,total,positivity,total,4.3
primary care sentinel,Austria,2025-W19,Influenza,Influenza,total,tests,total,47
primary care sentinel,Austria,2025-W19,Influenza,Influenza A,A(H1)pdm09,detections,total,2
primary care sentinel,Austria,2025-W18,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2025-W18,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2025-W18,Influenza,Influenza,total,tests,total,48
primary care sentinel,Austria,2025-W17,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2025-W17,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2025-W17,Influenza,Influenza,total,tests,total,45
primary care sentinel,Austria,2025-W16,Influenza,Influenza,total,detections,total,4
primary care sentinel,Austria,2025-W16,Influenza,Influenza,total,positivity,total,5.6
primary care sentinel,Austria,2025-W16,Influenza,Influenza,total,tests,total,71
primary care sentinel,Austria,2025-W16,Influenza,Influenza A,A(H1)pdm09,detections,total,2
primary care sentinel,Austria,2025-W16,Influenza,Influenza B,B/Vic,detections,total,2
primary care sentinel,Austria,2025-W15,Influenza,Influenza,total,detections,total,8
primary care sentinel,Austria,2025-W15,Influenza,Influenza,total,positivity,total,5.8
primary care sentinel,Austria,2025-W15,Influenza,Influenza,total,tests,total,139
primary care sentinel,Austria,2025-W15,Influenza,Influenza A,A(H1)pdm09,detections,total,3
primary care sentinel,Austria,2025-W15,Influenza,Influenza A,A(H3),detections,total,2
primary care sentinel,Austria,2025-W15,Influenza,Influenza B,B (unknown),detections,total,1
primary care sentinel,Austria,2025-W15,Influenza,Influenza B,B/Vic,detections,total,2
primary care sentinel,Austria,2025-W14,Influenza,Influenza,total,detections,total,19
primary care sentinel,Austria,2025-W14,Influenza,Influenza,total,positivity,total,11.4
primary care sentinel,Austria,2025-W14,Influenza,Influenza,total,tests,total,166
primary care sentinel,Austria,2025-W14,Influenza,Influenza A,A(H1)pdm09,detections,total,3
primary care sentinel,Austria,2025-W14,Influenza,Influenza A,A(H3),detections,total,3
primary care sentinel,Austria,2025-W14,Influenza,Influenza B,B/Vic,detections,total,13
primary care sentinel,Austria,2025-W13,Influenza,Influenza,total,detections,total,19
primary care sentinel,Austria,2025-W13,Influenza,Influenza,total,positivity,total,11.8
primary care sentinel,Austria,2025-W13,Influenza,Influenza,total,tests,total,161
primary care sentinel,Austria,2025-W13,Influenza,Influenza A,A(H1)pdm09,detections,total,3
primary care sentinel,Austria,2025-W13,Influenza,Influenza A,A(H3),detections,total,1
primary care sentinel,Austria,2025-W13,Influenza,Influenza B,B/Vic,detections,total,15
primary care sentinel,Austria,2025-W12,Influenza,Influenza,total,detections,total,46
primary care sentinel,Austria,2025-W12,Influenza,Influenza,total,positivity,total,18.9
