survtype,countryname,yearweek,pathogen,pathogentype,pathogensubtype,indicator,age,value
primary care sentinel,Austria,2024-W48,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2024-W48,Influenza,Influenza,total,positivity,total,0.4
primary care sentinel,Austria,2024-W48,Influenza,Influenza,total,tests,total,276
primary care sentinel,Austria,2024-W48,Influenza,Influenza A,A(H1)pdm09,detections,total,1
primary care sentinel,Austria,2024-W47,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2024-W47,Influenza,Influenza,total,positivity,total,0.4
primary care sentinel,Austria,2024-W47,Influenza,Influenza,total,tests,total,233
primary care sentinel,Austria,2024-W47,Influenza,Influenza B,B/Vic,detections,total,1
primary care sentinel,Austria,2024-W46,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2024-W46,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2024-W46,Influenza,Influenza,total,tests,total,219
primary care sentinel,Austria,2024-W45,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2024-W45,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2024-W45,Influenza,Influenza,total,tests,total,228
primary care sentinel,Austria,2024-W44,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2024-W44,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2024-W44,Influenza,Influenza,total,tests,total,144
primary care sentinel,Austria,2024-W43,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2024-W43,Influenza,Influenza,total,positivity,total,0.5
primary care sentinel,Austria,2024-W43,Influenza,Influenza,total,tests,total,201
primary care sentinel,Austria,2024-W43,Influenza,Influenza A,A(H1)pdm09,detections,total,1
primary care sentinel,Austria,2024-W42,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2024-W42,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2024-W42,Influenza,Influenza,total,tests,total,283
primary care sentinel,Austria,2024-W41,Influenza,Influenza,total,detections,total,3
primary care sentinel,Austria,2024-W41,Influenza,Influenza,total,positivity,total,1.6
primary care sentinel,Austria,2024-W41,Influenza,Influenza,total,tests,total,182
primary care sentinel,Austria,2024-W41,Influenza,Influenza A,A(H1)pdm09,detections,total,2
primary care sentinel,Austria,2024-W41,Influenza,Influenza B,B/Vic,detections,total,1
primary care sentinel,Austria,2024-W40,Influenza,Influenza,total,detections,total,0
primary care sentinel,Austria,2024-W40,Influenza,Influenza,total,positivity,total,0
primary care sentinel,Austria,2024-W40,Influenza,Influenza,total,tests,total,200
primary care sentinel,Austria,2024-W39,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2024-W39,Influenza,Influenza,total,positivity,total,0.5
primary care sentinel,Austria,2024-W39,Influenza,Influenza,total,tests,total,211
primary care sentinel,Austria,2024-W39,Influenza,Influenza B,B/Vic,detections,total,1
primary care sentinel,Austria,2024-W38,Influenza,Influenza,total,detections,total,0
